exercise_id,alt_exercise_id,reason,priority
F001,M005,smith_machine_available,1
F001,F042,dumbbell_only,2
F001,H_PUSHUP,no_equipment,3
F009,M018,smith_machine_available,1
F009,F058,dumbbell_only,2
F009,H_GOBLET_SQUAT_BW,no_equipment,3
F009,H_SQUAT,beginner,4
F025,M052,smith_machine_available,1
F025,F060,dumbbell_only,2
F025,F055,trap_bar_available,1
F025,H_GOOD_MORNING_BW,no_equipment,3
F012,M027,machine_available,1
F012,F050,dumbbell_only,2
F012,H_PIKE_PUSHUP,no_equipment,3
F005,M009,assisted_machine,1
F005,M008,lat_pulldown,2
F005,H_INV_ROW,no_pullup_bar,3
F005,H_DOORWAY_ROW,no_equipment,4
F016,M037,assisted_machine,1
F016,M082,seated_machine,2
F016,H_TRICEP_DIP,bench_only,3
F022,M048,machine_available,1
F022,M070,plate_loaded,2
F022,M049,smith_available,3
F022,H_HIP_THRUST_COUCH,home_only,4
F017,M040,cable_available,1
F017,M038,machine_available,2
F017,F019,dumbbell_only,3
F017,H_BAND_CURL,no_weights,4
F026,M053,smith_available,1
F026,F010,dumbbell_only,2
F026,M055,cable_pull_through,3
F026,H_GOOD_MORNING_BW,no_equipment,4
F013,M029,machine_available,1
F013,M032,cable_available,2
F013,H_LATERAL_RAISE_BW,no_weights,3
F008,M012,t_bar_available,1
F008,M010,seated_row,2
F008,F007,dumbbell_only,3
F008,H_INV_ROW,no_equipment,4
F084,F060,no_kettlebell,1
F084,H_KB_SWING,home_kettlebell,2
F084,H_GOOD_MORNING_BW,no_equipment,3
H_PUSHUP,M001,gym_machine,1
H_PUSHUP,F042,dumbbell_alt,2
H_SQUAT,M016,gym_machine,1
H_SQUAT,F009,barbell_alt,2
C_TREADMILL_RUN,C_OUTDOOR_RUN,outdoor_preferred,1
C_TREADMILL_RUN,C_ELLIPTICAL,low_impact,2
C_TREADMILL_RUN,C_BIKE,knee_friendly,3
C_BIKE,C_OUTDOOR_BIKE,outdoor_preferred,1
C_BIKE,C_ELLIPTICAL,low_impact,2
