exercise_id,is_compound,is_isolation,is_unilateral,is_bilateral,knee_friendly,back_friendly,shoulder_friendly,beginner_safe,requires_spotter,high_impact,low_impact,time_efficient
M001,true,false,false,true,true,true,true,true,false,false,true,true
M002,true,false,false,true,true,true,true,true,false,false,true,true
M003,false,true,false,true,true,true,false,true,false,false,true,false
M004,false,true,false,true,true,true,true,false,false,false,true,false
M005,true,false,false,true,true,true,true,false,true,false,true,true
M006,true,false,false,true,true,true,true,false,true,false,true,true
M007,true,false,false,true,true,true,false,false,true,false,true,true
M008,true,false,false,true,true,true,true,true,false,false,true,true
M009,true,false,false,true,true,true,true,true,false,false,true,true
M010,true,false,false,true,true,true,true,true,false,false,true,true
M011,true,false,false,true,true,true,true,true,false,false,true,true
M012,true,false,false,true,true,false,true,false,false,false,true,true
M013,true,false,false,true,true,true,true,true,false,false,true,true
M014,false,true,false,true,true,true,false,false,false,false,true,false
M015,false,true,false,true,true,true,true,false,false,false,true,false
M016,true,false,false,true,false,true,true,true,false,false,true,true
M017,true,false,false,true,false,true,true,false,false,false,true,true
M018,true,false,false,true,false,true,true,false,true,false,true,true
M019,false,true,false,true,false,true,true,true,false,false,true,false
M020,false,true,false,true,true,true,true,true,false,false,true,false
M021,false,true,false,true,true,true,true,true,false,false,true,false
M022,false,true,true,false,true,true,true,true,false,false,true,false
M023,false,true,false,true,true,true,true,true,false,false,true,false
M024,false,true,false,true,true,true,true,true,false,false,true,false
M025,false,true,false,true,true,true,true,true,false,false,true,false
M026,false,true,false,true,true,true,true,true,false,false,true,false
M027,true,false,false,true,true,true,true,true,false,false,true,true
M028,true,false,false,true,true,true,true,false,false,false,true,true
M029,false,true,false,true,true,true,false,true,false,false,true,false
M030,false,true,false,true,true,true,true,true,false,false,true,false
M031,false,true,false,true,true,true,true,true,false,false,true,false
M032,false,true,true,false,true,true,false,true,false,false,true,false
M033,false,true,false,true,true,true,true,true,false,false,true,false
M034,false,true,false,true,true,true,true,true,false,false,true,false
M035,false,true,false,true,true,true,false,false,false,false,true,false
M036,false,true,false,true,true,true,true,true,false,false,true,false
M037,true,false,false,true,true,true,true,false,false,false,true,true
M038,false,true,false,true,true,true,true,true,false,false,true,false
M039,false,true,false,true,true,true,true,true,false,false,true,false
M040,false,true,false,true,true,true,true,true,false,false,true,false
M041,false,true,false,true,true,true,true,true,false,false,true,false
M042,false,true,false,true,true,true,true,true,false,false,true,false
M043,false,true,false,true,true,false,true,true,false,false,true,false
M044,true,false,false,true,true,false,true,false,false,false,true,false
M045,true,false,false,true,true,true,true,false,false,false,true,true
M046,true,false,false,true,true,true,true,true,false,false,true,true
M047,true,false,false,true,false,true,true,false,false,false,true,true
M048,true,false,false,true,true,true,true,true,false,false,true,true
M049,true,false,false,true,true,true,true,false,false,false,true,true
M050,true,false,true,false,false,true,true,false,false,false,true,true
M051,true,false,true,false,false,true,true,false,false,false,true,true
M052,true,false,false,true,true,false,true,false,true,false,true,true
M053,true,false,false,true,true,false,true,false,false,false,true,true
M054,true,false,false,true,true,false,true,false,false,false,true,true
M055,true,false,false,true,true,true,true,true,false,false,true,true
M056,false,true,true,false,true,true,true,true,false,false,true,false
M057,true,false,false,true,true,true,true,true,false,false,true,true
M058,false,true,false,true,true,true,true,true,false,false,true,false
M059,false,true,false,true,true,true,true,true,false,false,true,false
M060,false,true,false,true,true,true,true,true,false,false,true,false
M061,false,true,false,true,true,true,true,true,false,false,true,false
M062,false,true,true,false,true,true,true,true,false,false,true,false
M063,false,true,true,false,true,true,true,false,false,false,true,false
M064,true,false,false,true,true,true,true,true,false,false,true,true
M065,false,true,true,false,true,false,true,false,false,false,true,false
M066,false,true,false,true,true,false,true,true,false,false,true,false
M067,false,true,false,true,true,false,true,false,false,false,true,false
M068,false,true,false,true,true,false,true,false,false,false,true,false
M069,false,true,false,true,true,false,true,true,false,false,true,false
M070,true,false,false,true,true,true,true,false,false,false,true,true
M071,false,true,false,true,true,true,true,true,false,false,true,false
M072,false,true,false,true,true,true,true,true,false,false,true,false
M073,true,false,false,true,true,true,false,false,false,false,true,false
M074,true,false,false,true,true,true,true,true,false,false,true,true
M075,true,false,false,true,true,true,false,false,false,false,true,true
M076,true,false,false,true,true,true,true,true,false,false,true,true
M077,true,false,false,true,false,true,true,false,false,false,true,true
M078,true,false,false,true,false,true,true,false,false,false,true,true
M079,false,true,false,true,true,true,true,true,false,false,true,false
M080,false,true,false,true,true,true,true,true,false,false,true,false
M081,false,true,false,true,true,true,false,false,false,false,true,false
M082,true,false,false,true,true,true,true,false,false,false,true,true
M083,true,false,false,true,true,true,true,false,false,false,true,true
M084,true,false,false,true,true,true,true,false,false,false,true,true
M085,false,true,false,true,true,true,true,true,false,false,true,false
M086,false,true,false,true,true,true,true,true,false,false,true,false
M087,false,true,true,false,true,true,true,false,false,false,true,false
M088,true,false,false,true,true,true,true,true,false,false,true,true
M089,false,true,false,true,true,true,true,true,false,false,true,false
M090,true,false,false,true,true,true,true,true,false,false,true,true
M091,false,true,false,true,true,true,true,true,false,false,true,false
M092,true,false,false,true,true,true,true,true,false,false,true,true
M093,false,true,false,true,true,true,true,true,false,false,true,false
M094,true,false,false,true,true,true,true,true,false,false,true,true
M095,true,false,false,true,true,true,true,true,false,false,true,true
M096,true,false,false,true,true,true,true,true,false,false,true,true
M097,true,false,false,true,true,true,true,true,false,false,true,true
M098,true,false,false,true,false,false,true,false,false,false,true,true
M099,false,true,false,true,true,true,true,true,false,false,true,false
M100,false,true,false,true,true,true,true,true,false,false,true,false
F001,true,false,false,true,true,true,false,false,true,false,true,true
F002,true,false,false,true,true,true,false,false,true,false,true,true
F003,false,true,false,true,true,true,false,true,false,false,true,false
F004,true,false,false,true,true,true,false,false,true,false,true,true
F005,true,false,false,true,true,true,true,false,false,false,true,true
F006,true,false,false,true,true,false,true,false,false,false,true,true
F007,true,false,true,false,true,true,true,true,false,false,true,true
F008,true,false,false,true,true,false,true,false,false,false,true,true
F009,true,false,false,true,false,false,true,false,true,false,true,true
F010,true,false,false,true,true,false,true,false,false,false,true,true
F011,false,true,false,true,true,true,true,true,false,false,true,false
F012,true,false,false,true,true,true,false,false,false,false,true,true
F013,false,true,false,true,true,true,false,true,false,false,true,false
F014,false,true,false,true,true,true,true,true,false,false,true,false
F015,false,true,false,true,true,true,false,false,false,false,true,false
F016,true,false,false,true,true,true,false,false,false,false,true,true
F017,false,true,false,true,true,true,true,true,false,false,true,false
F018,false,true,true,false,true,true,true,true,false,false,true,false
