exercise_id,name_ko,name_en,category,equipment,primary_muscles,secondary_muscles,movement_pattern,difficulty,location,unilateral,regression_id,progression_id,equivalent_id,home_substitute_id,met,video_id
M001,체스트 프레스 머신,Chest Press Machine,gym,machine,가슴|삼두,어깨,horizontal_push,초급,gym,false,,M002,F001,H_PUSHUP,5.0,
M002,인클라인 체스트 프레스 머신,Incline Chest Press Machine,gym,machine,가슴(상부)|삼두,어깨(전면),horizontal_push,초급,gym,false,M001,,F002,H_INCLINE_PUSHUP,5.5,
M003,펙덱 플라이 머신,Pec Deck Fly,gym,machine,가슴,어깨(전면),horizontal_push_iso,초급,gym,false,,,F003,H_FLOOR_FLY,4.5,
M004,케이블 크로스오버,Cable Crossover,gym,cable,가슴,어깨(전면),horizontal_push_iso,중급,gym,false,M003,,,H_FLOOR_FLY,5.0,
M005,스미스머신 벤치프레스,Smith Machine Bench Press,gym,smith,가슴|삼두,어깨,horizontal_push,중급,gym,false,M001,,F001,H_PUSHUP,6.0,
M006,스미스머신 인클라인 프레스,Smith Machine Incline Press,gym,smith,가슴(상부)|삼두,어깨,horizontal_push,중급,gym,false,M002,,F002,H_INCLINE_PUSHUP,6.0,
M007,스미스머신 디클라인 프레스,Smith Machine Decline Press,gym,smith,가슴(하부)|삼두,,horizontal_push,중급,gym,false,,,F004,H_DECLINE_PUSHUP,6.0,
M008,랫 풀다운,Lat Pulldown,gym,cable,등(광배),이두|후면삼각,vertical_pull,초급,gym,false,,M009,,H_DOORWAY_ROW,5.0,
M009,어시스트 풀업 머신,Assisted Pull-up Machine,gym,machine,등(광배),이두,vertical_pull,중급,gym,false,M008,F005,,H_DOORWAY_ROW,6.0,
M010,시티드 로우 머신,Seated Row Machine,gym,machine,등(중부)|승모,이두|후면삼각,horizontal_pull,초급,gym,false,,,F006,H_DOORWAY_ROW,5.0,
M011,체스트 서포티드 로우,Chest Supported Row,gym,machine,등(중부)|승모,이두,horizontal_pull,초급,gym,false,,,F007,H_DOORWAY_ROW,5.0,
M012,T바 로우,T-Bar Row,gym,plate,등(중부)|승모,이두,horizontal_pull,중급,gym,false,M010,,F008,,5.5,
M013,케이블 시티드 로우,Cable Seated Row,gym,cable,등(중부),이두|후면삼각,horizontal_pull,초급,gym,false,,,F006,H_DOORWAY_ROW,5.0,
M014,케이블 풀오버,Cable Pullover,gym,cable,등(광배),가슴,vertical_pull_iso,중급,gym,false,,,,H_FLOOR_PULLOVER,4.5,
M015,스트레이트암 풀다운,Straight-arm Pulldown,gym,cable,등(광배),,vertical_pull_iso,중급,gym,false,M014,,,H_FLOOR_PULLOVER,4.5,
M016,레그 프레스,Leg Press,gym,machine,대퇴사두|둔근,햄스트링,squat,초급,gym,false,,F009,F009,H_SQUAT,6.0,
M017,핵 스쿼트 머신,Hack Squat Machine,gym,machine,대퇴사두|둔근,햄스트링,squat,중급,gym,false,M016,F009,F009,H_SQUAT,7.0,
M018,스미스머신 스쿼트,Smith Machine Squat,gym,smith,대퇴사두|둔근,햄스트링,squat,중급,gym,false,M016,F009,F009,H_SQUAT,6.5,
M019,레그 익스텐션,Leg Extension,gym,machine,대퇴사두,,knee_extension,초급,gym,false,,,,H_WALL_SIT,4.0,
M020,레그 컬 (라잉),Lying Leg Curl,gym,machine,햄스트링,종아리,knee_flexion,초급,gym,false,,M021,M021,H_GLUTE_BRIDGE,4.0,
M021,레그 컬 (시티드),Seated Leg Curl,gym,machine,햄스트링,,knee_flexion,초급,gym,false,,,M020,H_GLUTE_BRIDGE,4.0,
M022,글루트 킥백 머신,Glute Kickback Machine,gym,machine,둔근,햄스트링,hip_extension,초급,gym,true,,,F010,H_GLUTE_BRIDGE,4.0,
M023,힙 어덕션 머신,Hip Adduction,gym,machine,내전근,,hip_adduction,초급,gym,false,,,,H_SIDE_LYING_ADDUCTION,3.5,
M024,힙 앱덕션 머신,Hip Abduction,gym,machine,중둔근,,hip_abduction,초급,gym,false,,,,H_CLAMSHELL,3.5,
M025,스탠딩 카프 레이즈,Standing Calf Raise,gym,machine,종아리,,calf_raise,초급,gym,false,,,F011,H_CALF_RAISE,3.5,
M026,시티드 카프 레이즈,Seated Calf Raise,gym,machine,종아리(가자미),,calf_raise,초급,gym,false,M025,,,H_CALF_RAISE,3.5,
M027,숄더 프레스 머신,Shoulder Press Machine,gym,machine,어깨|삼두,승모,vertical_push,초급,gym,false,,F012,F012,H_PIKE_PUSHUP,5.0,
M028,스미스머신 숄더 프레스,Smith Machine Shoulder Press,gym,smith,어깨|삼두,승모,vertical_push,중급,gym,false,M027,F012,F012,H_PIKE_PUSHUP,5.5,
M029,래터럴 레이즈 머신,Lateral Raise Machine,gym,machine,어깨(측면),,shoulder_abduction,초급,gym,false,,F013,F013,H_LATERAL_RAISE_BW,4.0,
M030,리어 델트 플라이 머신,Rear Delt Fly Machine,gym,machine,어깨(후면)|승모,,horizontal_pull_iso,초급,gym,false,,F014,F014,H_REAR_DELT_RAISE,4.0,
M031,케이블 페이스풀,Cable Face Pull,gym,cable,어깨(후면)|승모,이두,horizontal_pull_iso,중급,gym,false,M030,,,H_BAND_FACEPULL,4.0,
M032,케이블 래터럴 레이즈,Cable Lateral Raise,gym,cable,어깨(측면),,shoulder_abduction,중급,gym,true,M029,,F013,H_LATERAL_RAISE_BW,4.0,
M033,트라이셉스 푸시다운 (V바),Triceps Pushdown V-bar,gym,cable,삼두,,elbow_extension,초급,gym,false,,,,H_TRICEP_DIP,4.0,
M034,트라이셉스 푸시다운 (로프),Triceps Pushdown Rope,gym,cable,삼두,,elbow_extension,초급,gym,false,,,M033,H_TRICEP_DIP,4.0,
M035,오버헤드 트라이셉스 익스텐션 (케이블),Overhead Triceps Extension,gym,cable,삼두(장두),,elbow_extension,중급,gym,false,M033,,F015,H_OVERHEAD_TRICEP,4.0,
M036,트라이셉스 익스텐션 머신,Triceps Extension Machine,gym,machine,삼두,,elbow_extension,초급,gym,false,,,,H_TRICEP_DIP,4.0,
M037,딥스 머신 (어시스트),Assisted Dips Machine,gym,machine,삼두|가슴,어깨,vertical_push,중급,gym,false,M036,F016,F016,H_TRICEP_DIP,6.0,
M038,바이셉스 컬 머신,Biceps Curl Machine,gym,machine,이두,전완,elbow_flexion,초급,gym,false,,F017,F017,H_BAND_CURL,4.0,
M039,프리처 컬 머신,Preacher Curl Machine,gym,machine,이두,,elbow_flexion,초급,gym,false,M038,F018,F018,H_BAND_CURL,4.0,
M040,케이블 바이셉스 컬,Cable Biceps Curl,gym,cable,이두,전완,elbow_flexion,초급,gym,false,M038,F017,F017,H_BAND_CURL,4.0,
M041,케이블 해머 컬 (로프),Cable Hammer Curl,gym,cable,이두|상완근,전완,elbow_flexion,초급,gym,false,M040,F019,F019,H_BAND_HAMMER,4.0,
M042,압도미널 크런치 머신,Abdominal Crunch Machine,gym,machine,복근,,trunk_flexion,초급,gym,false,,,,H_CRUNCH,4.0,
M043,로터리 토르소,Rotary Torso,gym,machine,복사근,복근,trunk_rotation,초급,gym,false,,,,H_RUSSIAN_TWIST,4.0,
