exercise_id,weight_loss,muscle_gain,health,endurance,flexibility,maintenance
M001,4,8,7,3,1,7
M002,4,8,7,3,1,7
M003,3,7,5,3,1,6
M004,3,7,5,3,1,6
M005,4,8,7,3,1,7
M006,4,8,7,3,1,7
M007,4,7,6,3,1,6
M008,5,8,7,4,1,7
M009,6,8,7,5,1,7
M010,5,8,7,4,1,7
M011,5,8,7,4,1,7
M012,5,8,7,4,1,7
M013,5,8,7,4,1,7
M014,4,7,6,3,1,6
M015,4,7,6,3,1,6
M016,7,9,8,5,2,8
M017,7,9,8,5,2,8
M018,7,9,8,5,2,8
M019,3,6,5,3,1,5
M020,3,7,6,3,1,6
M021,3,7,6,3,1,6
M022,4,7,6,3,1,6
M023,3,5,5,2,2,5
M024,3,5,5,2,2,5
M025,3,5,6,3,1,5
M026,3,5,6,3,1,5
M027,5,8,7,4,2,7
M028,5,8,7,4,2,7
M029,3,7,5,3,1,6
M030,3,7,5,3,1,6
M031,3,6,7,3,1,6
M032,3,7,5,3,1,6
M033,3,7,5,3,1,6
M034,3,7,5,3,1,6
M035,3,7,5,3,1,6
M036,3,7,5,3,1,6
M037,5,8,6,4,1,7
M038,3,7,5,3,1,6
M039,3,7,5,3,1,6
M040,3,7,5,3,1,6
M041,3,7,5,3,1,6
M042,5,6,6,3,1,6
M043,4,5,6,3,2,5
M044,5,6,7,4,2,6
M045,5,7,7,4,2,7
M046,4,6,8,3,2,6
M047,5,8,7,4,2,7
M048,5,8,7,3,2,7
M049,5,8,7,3,2,7
M050,7,8,7,5,2,7
M051,7,9,7,5,2,8
M052,8,9,8,5,2,8
M053,7,9,8,5,2,8
M054,7,9,8,5,2,8
M055,5,7,7,4,2,7
M056,4,7,6,3,1,6
M057,6,8,7,5,1,7
M058,3,6,6,3,1,6
M059,3,6,6,3,1,6
M060,3,7,5,3,1,6
M061,3,7,7,3,1,6
M062,3,6,5,3,1,5
M063,3,7,5,3,1,6
M064,4,6,8,3,2,6
M065,3,5,6,3,2,5
M066,3,5,6,3,1,5
M067,5,7,6,3,1,6
M068,5,7,6,3,1,6
M069,4,5,6,3,2,5
M070,5,8,7,3,2,7
M071,3,7,5,3,1,6
M072,3,6,5,3,1,5
M073,3,6,6,3,1,6
M074,4,8,7,3,1,7
M075,4,7,6,3,1,6
M076,5,8,7,4,1,7
M077,7,8,7,4,2,7
M078,7,9,8,5,2,8
M079,3,5,6,3,1,5
M080,3,5,6,3,1,5
M081,4,7,6,3,1,6
M082,5,8,6,4,1,7
M083,4,8,6,3,1,7
M084,5,8,7,4,2,7
M085,3,7,5,3,1,6
M086,3,6,7,3,1,6
M087,3,7,5,3,1,6
M088,4,7,6,4,1,6
M089,3,5,5,2,2,5
M090,5,8,7,3,2,7
M091,3,5,6,3,1,5
M092,7,9,8,5,2,8
M093,3,7,6,3,1,6
M094,5,8,7,4,1,7
M095,5,8,7,4,1,7
M096,5,8,7,4,1,7
M097,5,8,7,4,1,7
M098,7,9,8,5,2,8
M099,3,6,6,3,1,6
M100,3,5,6,3,1,5
F001,5,10,7,4,1,8
F002,5,10,7,4,1,8
F003,3,7,5,3,1,6
F004,5,9,7,4,1,8
F005,7,9,8,6,2,8
F006,6,9,7,5,1,8
F007,5,9,7,4,1,7
F008,6,9,7,5,1,8
F009,8,10,9,6,3,9
F010,7,9,8,5,2,8
F011,3,6,6,3,1,6
F012,6,9,8,5,2,8
F013,3,7,5,3,1,6
F014,3,7,5,3,1,6
F015,3,7,5,3,1,6
F016,5,8,6,4,1,7
F017,3,8,5,3,1,6
F018,3,7,5,3,1,6
F019,3,7,5,3,1,6
F020,5,7,7,4,2,7
F021,5,7,8,4,2,7
F022,6,9,8,4,2,8
F023,7,8,8,5,3,8
F024,7,9,7,5,3,8
F025,9,10,9,6,2,9
F026,7,9,8,5,3,8
F027,7,9,8,5,3,8
F028,7,9,8,6,2,8
F029,3,7,6,3,1,6
F030,3,7,5,3,1,6
F031,3,7,5,3,1,6
F032,3,6,5,3,1,5
F033,3,7,6,3,1,6
F034,4,8,6,3,1,7
F035,7,10,8,6,2,9
F036,7,9,8,5,3,8
F037,7,9,7,5,2,8
F038,6,9,7,5,2,8
F039,6,8,7,5,2,7
F040,8,10,8,5,2,9
F041,5,9,7,4,1,8
F042,5,9,7,4,1,8
F043,5,9,7,4,1,8
F044,4,7,6,3,2,6
F045,3,7,5,3,1,6
F046,3,8,5,3,1,6
F047,3,8,5,3,1,6
F048,3,7,5,3,1,6
F049,3,7,5,3,1,6
F050,5,8,7,4,2,7
F051,5,8,7,4,2,7
F052,3,7,5,3,1,6
F053,3,7,5,3,1,6
F054,3,7,6,3,1,6
F055,8,10,9,6,2,9
F056,7,9,8,5,3,8
F057,7,9,7,5,2,8
F058,7,8,8,5,3,8
F059,7,8,8,5,2,7
F060,7,8,8,5,2,8
F061,7,8,8,5,3,8
F062,7,8,8,5,3,8
F063,7,8,8,5,3,8
F064,3,6,6,3,1,6
F065,3,6,6,3,1,6
F066,5,8,7,3,2,7
F067,6,9,8,5,2,8
F068,5,8,7,4,2,7
F069,9,8,8,7,3,8
F070,9,8,7,7,3,8
F071,9,8,8,7,3,8
F072,7,7,9,7,2,8
F073,8,9,8,5,2,8
F074,8,10,8,5,2,9
F075,6,9,7,5,1,8
F076,6,8,7,4,1,7
F077,5,8,7,4,1,7
F078,8,8,7,7,2,8
F079,5,7,7,5,3,7
F080,4,7,7,3,1,6
F081,3,5,6,3,2,5
F082,8,7,9,8,5,8
